"Data Source","World Development Indicators",

"Last Updated Date","2024-11-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Latin America & Caribbean","LCN","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6202100","5943700","6264300",
"Latin America & Caribbean","LCN","Voice and Accountability: Standard Error","VA.STD.ERR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Latin America & Caribbean","LCN","Voice and Accountability: Number of Sources","VA.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Latin America & Caribbean","LCN","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.2914032638301","14.3009658058286","13.7475223360617","12.5411459797879","12.8115528650246","13.1823847892706","13.214821524266","13.7589568224653","14.9372152907826","14.4603418458002","13.9795657668134","13.7488606390064","14.8076133653479","12.6178611402526","12.7290829263917","13.0634672702101",
"Latin America & Caribbean","LCN","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Latin America & Caribbean","LCN","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","0.276009542912993","0.353880907355242","0.406901175010435","0.390422211119591","0.391458764043583","0.418054134092862","0.320079317967206","0.369885679171942","0.413235836671091","0.360780464039275","0.422827231016517","0.483217203244232","0.314984727689771","0.566033840343077","0.642319800215985","0.877982843992245","0.53715795104305","0.727284782009785","1.14241018051553","1.12335419414409","1.32050917293083","1.87108050574174","1.41086759561323","1.30111100638316","1.55288175015621","1.96930485893114","0.960216288772362","0.972177394653185","0.868599957810463","0.761127458088118","0.757704456871534","0.674426705541078","0.927380287609154","0.629692026982348","0.719529055765023","0.663662509527337","0.651299128159468","0.575423932219578","0.529789466849477","0.449222212622975","0.398282240163874","0.582082736331315","0.654735283901392","0.650106169671232","0.746365937356375","1.00065599982962","1.09650033210317","1.17505461125345","1.19975143549794","1.16469525110975","0.950175501031305","1.0503071963238","1.06568460045716","1.02926187328562","0.97943181413825","0.856549890184913","0.83593242102604","0.796545964130729","0.736460712274535","0.702363053605599","0.714871910534161","","","",
"Latin America & Caribbean","LCN","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS","0.0245601711914104","0.0459585593967847","0.0644487767130621","0.0396522558168334","0.065712502357436","0.0902050667793814","0.143133059704639","0.181176712551906","0.229118805562408","0.153154786947983","0.100047180825857","0.172147499839114","0.18556865270552","0.197167124897199","0.15735694592691","0.24467842317316","0.217005927555946","0.206256722780466","0.208319641738437","0.134646608443428","0.0888018331202532","0.0787163909093223","0.10300320974678","0.179536934240078","0.283784432750515","0.319110767248888","0.331375117033904","0.466833516824933","0.441265940098198","0.419065197055804","0.328236394724548","0.225855467310313","0.33272402716297","0.799170866936671","0.489846249556792","0.733327266309767","0.895070554958758","0.903494383195427","0.890925810317744","0.727684712565926","0.551999513871757","0.759001634926745","0.836774767623854","1.07369296016222","1.09692626256608","1.38831838505697","1.47953516776568","1.40634005829459","1.53329577673587","1.33696596135106","1.59223236718256","1.44708952040232","1.32428805765745","1.37243643955249","1.48444705458239","1.30427503248498","1.31818249613827","1.42211306291425","1.38327430295946","1.25676416462231","1.49285507006077","","","",
"Latin America & Caribbean","LCN","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","9783040805.7912","9957737963.03747","10400951121.2363","11008077661.5428","12041163319.8263","12528589956.0937","13099100766.6966","13836774480.2171","14178622933.9798","15858748772.9774","17931407221.3429","17704946100.5537","20097885276.8924","29282501304.3267","47748788125.2477","46175422528.9079","52752500508.3985","61546740699.0438","66163312404.2741","86608438066.3765","114655108682.968","124534205480.822","111849147557.762","112079922223.709","123446113714.745","116930503753.754","100988719236.488","112758770226.303","130192848318.198","144781976367.765","155015819017.181","153930231789.965","162332482881.248","173260583896.43","202821544529.49","247025535259.148","278968966371.003","311202390495.888","306468712725.575","327198361972.98","394367858860.913","378020446037.176","382991292814.428","419850590615.563","517912428698.236","631170331880.052","753033322998.136","846385692785.297","976090748638.625","757773056144.647","958505120584.911","1194020380197.25","1204151972548.04","1193535821098.74","1161078975882.74","987746690060.911","952131794498.623","1065718275928.21","1159443328827.29","1130073826893.46","1023827836561.32","1302848334456.75","1523263906303.79","1503281735056.87",
"Latin America & Caribbean","LCN","Insurance and financial services (% of commercial service exports)","TX.VAL.INSF.ZS.WT","","","","","","","","","","","","","","","","","","","","5.88906912156203","7.59622581909333","7.61175152452986","7.15383367199794","5.73867009231358","4.86381011559464","6.80291396891241","5.09885357906255","4.71644709915656","7.47809315674353","4.36869299160228","3.91434126165664","3.75661080252661","4.23199466522001","5.57368440874487","3.58656670837134","7.07603143899466","5.12729920453114","4.83093294444959","7.37762460173131","7.20237103402322","8.99414805198541","7.28683058393168","7.05523356714801","6.14948860777012","4.92134320807028","6.12227744529995","5.97627208768714","7.69014836465916","7.33480896234983","7.06790210694905","7.0914071586175","7.76244245632289","6.8431542020704","7.72973392426675","7.21400273749874","6.70337459982977","5.65430834616609","6.79435631617604","6.11349127572821","6.17845472861367","9.03746674743856","7.91403054417689","6.63656038991253","6.58940682266505",
"Latin America & Caribbean","LCN","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","16.9558073652474","14.2824792956645","13.2400434681418","13.5732120915228","13.8744022827992","10.8756278333337","11.346947140748","11.8772051887053","8.7499813331833","7.20369921835672","8.34717078751475","6.97329932292531","6.51080451926888","6.23344490281704","6.72549507432476","5.13594056680239","5.54872484992987","4.75544385384843","4.26536576077066","4.02689828747426","3.53650562616496","3.30348969809666","3.59283646579362","3.20457915625072","3.18840137662093","3.36837539571343","","","3.14774894993501","3.36120579162941","3.19033142336363","3.13508622198088","3.324844854208","3.94064276253086","3.20173740087137","2.83354860085879","2.69900740042867","2.82868995064993","2.75643318325368","2.67689926051963","2.60601828358796","2.56357715538675","2.34604774791397","2.11323058042767","1.94664788723695","2.04364926196037","1.90125489909819","1.89375562739056","1.92331046358659","1.84197367987168","1.84899302762383","1.88292176903242","2.0948965972188","2.39147683744356","2.43976555629286","2.33502955048137","2.55672723946353","2.52165447592814","2.41829331083542","2.09142518180982","2.04254353306071","1.94894634581384",
